N,GpX,GpY,GmX,GmY,DX,DY
CB PCE@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.755859375,7.78220053030024,1565.70703125,1,1342.712890625,0.054753987782719
CB TCE@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.3203125,7.98578816297291,1565.70703125,1,1342.712890625,0.0337918399988651
CB TEMED@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.3203125,7.98193969770978,1565.267578125,1,1343.615234375,0.0489252821397704
CB TDAE@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.755859375,7.6412077236752,1565.70703125,1,1343.1640625,0.0503151878376054
CB Hexadecane@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.755859375,7.63791120804163,1565.70703125,1,1344.5234375,0.0409249110375827
CB Dodecane@SWCNT Dial. DGU C (Filled) (520.25 nm),1589.755859375,7.46123883273217,1565.70703125,1,1344.974609375,0.0211454428080162
