N,S11W,S11A,S22W,S22A
SC Empty@SWCNT Dial,1759,2.60925324150493,1000,1
CB Hexadecane@SWCNT Dial. DGU C (Filled),1772,2.23319517198147,1006,1
CB Dodecane@SWCNT Dial. DGU C (Filled),1772,1.86580862858414,1005,1
CB PCE@SWCNT Dial. DGU C (Filled,1788,2.53334513897611,1014,1
CB TCE@SWCNT Dial. DGU C (Filled),1791,2.59895762377648,1016,1
CB TEMED@SWCNT Dial. DGU C (Filled),1797,2.64628936124788,1017,1
CB TDAE@SWCNT Dial. DGU C (Filled),1768,2.31176669955263,1009,1
SC Water@SWCNT,1781,2.50391186508034,1014,1
