Name,X,Y,Name,X,Y
Test Film Sample (SWCNT),136.46484375,0.452803921490507,Test Film Sample (Converted to DWCNT),136.37890625,0.66340789874823
Test Film Sample (SWCNT),136.7763671875,0.427619671907833,Test Film Sample (Converted to DWCNT),136.689453125,0.687365244823494
Test Film Sample (SWCNT),137.0869140625,0.48548212219939,Test Film Sample (Converted to DWCNT),136.9990234375,0.577207163307992
Test Film Sample (SWCNT),137.3974609375,0.411866677918067,Test Film Sample (Converted to DWCNT),137.310546875,0.676816495381876
Test Film Sample (SWCNT),137.7099609375,0.425079344453982,Test Film Sample (Converted to DWCNT),137.619140625,0.590339239259973
Test Film Sample (SWCNT),138.0205078125,0.452868355442934,Test Film Sample (Converted to DWCNT),137.9296875,0.609854377206159
Test Film Sample (SWCNT),138.3330078125,0.480194637164962,Test Film Sample (Converted to DWCNT),138.240234375,0.746184381689136
Test Film Sample (SWCNT),138.6416015625,0.47285251086502,Test Film Sample (Converted to DWCNT),138.5498046875,0.713712440341857
Test Film Sample (SWCNT),138.955078125,0.438920718290956,Test Film Sample (Converted to DWCNT),138.8583984375,0.80887568664222
Test Film Sample (SWCNT),139.265625,0.524386088656312,Test Film Sample (Converted to DWCNT),139.1689453125,0.999320566525768
Test Film Sample (SWCNT),139.576171875,0.524716324097951,Test Film Sample (Converted to DWCNT),139.48046875,0.793631438852675
Test Film Sample (SWCNT),139.8876953125,0.565487418302973,Test Film Sample (Converted to DWCNT),139.791015625,0.88880102730055
Test Film Sample (SWCNT),140.197265625,0.538513042204939,Test Film Sample (Converted to DWCNT),140.1015625,0.823719353441669
Test Film Sample (SWCNT),140.509765625,0.496368053082866,Test Film Sample (Converted to DWCNT),140.4111328125,0.743409607577256
Test Film Sample (SWCNT),140.8203125,0.464670095623004,Test Film Sample (Converted to DWCNT),140.720703125,0.719368843624762
Test Film Sample (SWCNT),141.12890625,0.483005985143546,Test Film Sample (Converted to DWCNT),141.03125,0.840466393837166
Test Film Sample (SWCNT),141.4423828125,0.483472904673581,Test Film Sample (Converted to DWCNT),141.341796875,0.846731170092639
Test Film Sample (SWCNT),141.7529296875,0.510489263212135,Test Film Sample (Converted to DWCNT),141.6533203125,0.614608369229261
Test Film Sample (SWCNT),142.064453125,0.519980082948021,Test Film Sample (Converted to DWCNT),141.9638671875,0.763835330263591
Test Film Sample (SWCNT),142.375,0.461228906918534,Test Film Sample (Converted to DWCNT),142.271484375,0.815472061973536
Test Film Sample (SWCNT),142.685546875,0.494968353327121,Test Film Sample (Converted to DWCNT),142.5810546875,0.773909617541398
