Name,X,Y,Name,X,Y,Name,X,Y
Sol. T1 S-SWCNTs Converted,1675.666015625,1367.1777750651,Sol.T4 S-SWCNTs Converted,1675.666015625,1363.03334554036,Sol.T4P S-SWCNTs Converted,1675.666015625,446.183334350586
Sol. T1 S-SWCNTs Converted,1675.224609375,1374.86665852865,Sol.T4 S-SWCNTs Converted,1675.224609375,1372.56665039063,Sol.T4P S-SWCNTs Converted,1675.224609375,449.738891601563
Sol. T1 S-SWCNTs Converted,1674.78125,1372.74442545573,Sol.T4 S-SWCNTs Converted,1674.78125,1370.34999593099,Sol.T4P S-SWCNTs Converted,1674.78125,447.383331298828
Sol. T1 S-SWCNTs Converted,1674.337890625,1368.62221272786,Sol.T4 S-SWCNTs Converted,1674.337890625,1369.55000813802,Sol.T4P S-SWCNTs Converted,1674.337890625,444.805557250977
Sol. T1 S-SWCNTs Converted,1673.89453125,1368.47778320313,Sol.T4 S-SWCNTs Converted,1673.89453125,1367.66666666667,Sol.T4P S-SWCNTs Converted,1673.89453125,446.255559285482
Sol. T1 S-SWCNTs Converted,1673.453125,1370.84446207682,Sol.T4 S-SWCNTs Converted,1673.453125,1369.34997558594,Sol.T4P S-SWCNTs Converted,1673.453125,448.594446818034
Sol. T1 S-SWCNTs Converted,1673.01171875,1379.8666788737,Sol.T4 S-SWCNTs Converted,1673.01171875,1379.3666788737,Sol.T4P S-SWCNTs Converted,1673.01171875,448.622222900391
Sol. T1 S-SWCNTs Converted,1672.568359375,1372.45556640625,Sol.T4 S-SWCNTs Converted,1672.568359375,1372.31667073568,Sol.T4P S-SWCNTs Converted,1672.568359375,448.13889058431
Sol. T1 S-SWCNTs Converted,1672.126953125,1376.15557861328,Sol.T4 S-SWCNTs Converted,1672.126953125,1371.86665852865,Sol.T4P S-SWCNTs Converted,1672.126953125,448.911112467448
Sol. T1 S-SWCNTs Converted,1671.68359375,1383.8222249349,Sol.T4 S-SWCNTs Converted,1671.68359375,1380.78332519531,Sol.T4P S-SWCNTs Converted,1671.68359375,451.588887532552
Sol. T1 S-SWCNTs Converted,1671.2421875,1365.32220458984,Sol.T4 S-SWCNTs Converted,1671.2421875,1365.03336588542,Sol.T4P S-SWCNTs Converted,1671.2421875,447.044443766276
Sol. T1 S-SWCNTs Converted,1670.798828125,1372.26666259766,Sol.T4 S-SWCNTs Converted,1670.798828125,1372.78334554036,Sol.T4P S-SWCNTs Converted,1670.798828125,448.566670735677
Sol. T1 S-SWCNTs Converted,1670.357421875,1379.62221272786,Sol.T4 S-SWCNTs Converted,1670.357421875,1377.56665039063,Sol.T4P S-SWCNTs Converted,1670.357421875,451.111114501953
Sol. T1 S-SWCNTs Converted,1669.9140625,1375.85555013021,Sol.T4 S-SWCNTs Converted,1669.9140625,1375.05000813802,Sol.T4P S-SWCNTs Converted,1669.9140625,450.233332316081
Sol. T1 S-SWCNTs Converted,1669.470703125,1376.71112060547,Sol.T4 S-SWCNTs Converted,1669.470703125,1378.46665445964,Sol.T4P S-SWCNTs Converted,1669.470703125,450.088892618815
Sol. T1 S-SWCNTs Converted,1669.029296875,1370.94443766276,Sol.T4 S-SWCNTs Converted,1669.029296875,1363.68334960938,Sol.T4P S-SWCNTs Converted,1669.029296875,446.333333333333
