Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y
Film T1 S-SWCNTs,497.880859375,0.0163009771549766,Film T1 S-SWCNTs Converted,498.203125,0.00955530084736946,Film T2 S-SWCNTs,497.880859375,0.00950340098936935,Film T2 S-SWCNTs Converted,498.814453125,0.0259800906655298
Film T1 S-SWCNTs,497.4609375,0.0111178809843707,Film T1 S-SWCNTs Converted,497.78515625,0.0114529402808048,Film T2 S-SWCNTs,497.4609375,0.00961185463083925,Film T2 S-SWCNTs Converted,498.396484375,0.014109656787802
Film T1 S-SWCNTs,497.04296875,0.0174724709012907,Film T1 S-SWCNTs Converted,497.3671875,0.0118782323195507,Film T2 S-SWCNTs,497.04296875,0.0102021009684703,Film T2 S-SWCNTs Converted,497.978515625,0.023904307520085
Film T1 S-SWCNTs,496.625,0.0155042728369682,Film T1 S-SWCNTs Converted,496.947265625,0.0245690764847302,Film T2 S-SWCNTs,496.625,0.00632104601048407,Film T2 S-SWCNTs Converted,497.560546875,0.0187272515184052
Film T1 S-SWCNTs,496.20703125,0.0132915498012255,Film T1 S-SWCNTs Converted,496.529296875,0.00987635415795569,Film T2 S-SWCNTs,496.20703125,0.00915211502063524,Film T2 S-SWCNTs Converted,497.142578125,0.0357014563929084
Film T1 S-SWCNTs,495.787109375,0.0132031066330208,Film T1 S-SWCNTs Converted,496.111328125,0.0106601428406298,Film T2 S-SWCNTs,495.787109375,0.00885851680635715,Film T2 S-SWCNTs Converted,496.72265625,0.0156640923360383
Film T1 S-SWCNTs,495.369140625,0.015290165379453,Film T1 S-SWCNTs Converted,495.69140625,0.0111768866762516,Film T2 S-SWCNTs,495.369140625,0.0105882358429607,Film T2 S-SWCNTs Converted,496.3046875,0.0228604707674131
Film T1 S-SWCNTs,494.953125,0.0145003975155845,Film T1 S-SWCNTs Converted,495.275390625,0.0190462778922391,Film T2 S-SWCNTs,494.953125,0.00864542158300674,Film T2 S-SWCNTs Converted,495.88671875,0.0223278608879862
Film T1 S-SWCNTs,494.533203125,0.0153243884995752,Film T1 S-SWCNTs Converted,494.857421875,0.0176908664689602,Film T2 S-SWCNTs,494.533203125,0.0144974545690789,Film T2 S-SWCNTs Converted,495.46875,0.0271291142227233
Film T1 S-SWCNTs,494.115234375,0.014255053264274,Film T1 S-SWCNTs Converted,494.4375,0.0203009608035733,Film T2 S-SWCNTs,494.115234375,0.0203569531038205,Film T2 S-SWCNTs Converted,495.05078125,0.0304841437927059
Film T1 S-SWCNTs,493.697265625,0.0180062166529154,Film T1 S-SWCNTs Converted,494.01953125,0.0153400281401812,Film T2 S-SWCNTs,493.697265625,0.0127327586690391,Film T2 S-SWCNTs Converted,494.630859375,0.0141110675156587
Film T1 S-SWCNTs,493.27734375,0.012802039343121,Film T1 S-SWCNTs Converted,493.6015625,0.0136319211296531,Film T2 S-SWCNTs,493.27734375,0.00752517219056604,Film T2 S-SWCNTs Converted,494.21484375,0.0231968520405747
Film T1 S-SWCNTs,492.859375,0.0132589490174009,Film T1 S-SWCNTs Converted,493.18359375,0.0146849286215777,Film T2 S-SWCNTs,492.859375,0.00996986985232868,Film T2 S-SWCNTs Converted,493.794921875,0.0251092027285286
Film T1 S-SWCNTs,492.44140625,0.0138910991464754,Film T1 S-SWCNTs Converted,492.763671875,0.0163612024931316,Film T2 S-SWCNTs,492.44140625,0.00992312097377719,Film T2 S-SWCNTs Converted,493.375,0.0268723099280559
