Dodecane_KIT_N2_B
Wavelength (nm),Abs
2655,0.07608556747
2654,0.07565000653
2653,0.07818003744
2652,0.07796707749
2651,0.07700790465
2650,0.07806193829
2649,0.07770760357
2648,0.07770701498
2647,0.07826121151
2646,0.07938358933
2645,0.08081407845
2644,0.07834450901
2643,0.07782984525
2642,0.07859434187
2641,0.07864664495
2640,0.07796318084
2639,0.07857079804
2638,0.07843926549
2637,0.07905695587
2636,0.07705540955
2635,0.07598669827
2634,0.07723974437
2633,0.07801032811
2632,0.07603347301
2631,0.0707822293
2630,0.0778741315
2629,0.07871416211
2628,0.0756360516
2627,0.0798143819
2626,0.08026388288
2625,0.07911431789
2624,0.07756308466
2623,0.07857725024
2622,0.07808313519
2621,0.0747576952
2620,0.07683596015
2619,0.07972878218
2618,0.07498329878
2617,0.07608026266
2616,0.07822947204
2615,0.0795629099
2614,0.07831548899
2613,0.07914572209
2612,0.07874792069
2611,0.07882963866
2610,0.07801453769
2609,0.07894083112
2608,0.07980825007
2607,0.0788674131
2606,0.07781548053
2605,0.07852597535
2604,0.08020213246
2603,0.07834772766
2602,0.07739442587
2601,0.07863222063
2600,0.07951012254
2599,0.07821831107
2598,0.07786347717
2597,0.07482288778
2596,0.07177406549
2595,0.07483654469
2594,0.07958877832
2593,0.07964910567
2592,0.07987688482
2591,0.0783983916
2590,0.07666168362
2589,0.07672806084
2588,0.07802181691
2587,0.08086156845
2586,0.07999721169
2585,0.07597883046
2584,0.07833781093
2583,0.08063985407
2582,0.07903385907
2581,0.07896641642
2580,0.08024423569
2579,0.079174079
2578,0.07905500382
2577,0.08114203066
2576,0.08115526289
2575,0.08050093055
2574,0.08030128479
2573,0.08117857575
2572,0.08040936291
2571,0.07944180071
2570,0.0790515244
2569,0.07948981971
2568,0.07993210852
2567,0.07972799987
2566,0.0795923844
2565,0.07976224273
2564,0.07820799202
2563,0.07751546055
2562,0.07791947573
2561,0.08002345264
2560,0.08148041368
2559,0.08089397103
2558,0.08060032874
2557,0.08004856855
2556,0.080343768
2555,0.08077136427
2554,0.08011505753
2553,0.08006612211
2552,0.0793614313
2551,0.08028929681
2550,0.08052176982
2549,0.08024410903
2548,0.08058480918
2547,0.08033491671
2546,0.08084130287
2545,0.08085764199
2544,0.08068145812
2543,0.08032488823
2542,0.08067528903
2541,0.08034133911
2540,0.08099172264
2539,0.08094929904
2538,0.08050257713
2537,0.08042512834
2536,0.0802295655
2535,0.08010113984
2534,0.0807499513
2533,0.08025622368
2532,0.08006829768
2531,0.08043254167
2530,0.08079154044
2529,0.08118849993
2528,0.08096888661
2527,0.08136285841
2526,0.08116646856
2525,0.08120369911
2524,0.08163333684
2523,0.08168366551
2522,0.08111532778
2521,0.08184503019
2520,0.0813562721
2519,0.08157411218
2518,0.08156830072
2517,0.08135926723
2516,0.08138861507
2515,0.08165254444
2514,0.08216131479
2513,0.0816379562
2512,0.08156432956
2511,0.08176727593
2510,0.08185168356
2509,0.08140797168
2508,0.08186593652
2507,0.08166325837
2506,0.08174968511
2505,0.08177161962
2504,0.08174437284
2503,0.08231049776
2502,0.08212637901
2501,0.08223307133
2500,0.0822115764
2499,0.08197163045
2498,0.08199469745
2497,0.08236975968
2496,0.08208291233
2495,0.08209216595
2494,0.08185165375
2493,0.08243626356
2492,0.08236970007
2491,0.08235361427
2490,0.0825541392
2489,0.08236819506
2488,0.08253914863
2487,0.08276155591
2486,0.08251281828
2485,0.08277750015
2484,0.08286301792
2483,0.08269046992
2482,0.08268717676
2481,0.08262155205
2480,0.08264077455
2479,0.08256892115
2478,0.08282749355
2477,0.08283586055
2476,0.08273055404
2475,0.08278623968
2474,0.08279106021
2473,0.08292511106
2472,0.08322446793
2471,0.08314023167
2470,0.0832984373
2469,0.08287451416
2468,0.08303263038
2467,0.08344823867
2466,0.0832028687
2465,0.08301288635
2464,0.08358876407
2463,0.08332004398
2462,0.08339907974
2461,0.08349274844
2460,0.08355336636
2459,0.0834889859
2458,0.08364079148
2457,0.08348942548
2456,0.08341511339
2455,0.08386386186
2454,0.08381265402
2453,0.08367051929
2452,0.08380804211
2451,0.08408397436
2450,0.08396887779
2449,0.08392676711
2448,0.08397773653
2447,0.08399833739
2446,0.08423639834
2445,0.08430393785
2444,0.08425899595
2443,0.08402749151
2442,0.08454222232
2441,0.08431236446
2440,0.08422894776
2439,0.08454480022
2438,0.08467803895
2437,0.08435061574
2436,0.08448948711
2435,0.084858872
2434,0.08439783752
2433,0.08463139087
2432,0.08498868346
2431,0.08475043625
2430,0.08488125354
2429,0.08509542048
2428,0.08493220806
2427,0.0848184377
2426,0.08514261991
2425,0.08514265716
2424,0.08497401327
2423,0.08504217118
2422,0.08515959978
2421,0.08498009294
2420,0.08545397222
2419,0.08538181335
2418,0.08514791727
2417,0.0854992643
2416,0.08552280813
2415,0.0853087157
2414,0.08559320122
2413,0.08569075167
2412,0.08537585288
2411,0.08556057513
2410,0.08591231704
2409,0.08560366929
2408,0.08581206948
2407,0.0861781612
2406,0.085835509
2405,0.08606623858
2404,0.08628538251
2403,0.08605178446
2402,0.08606314659
2401,0.08642907441
2400,0.08620104939
2399,0.08631531894
2398,0.08654134721
2397,0.08639527857
2396,0.08639938384
2395,0.08682218194
2394,0.08683283627
2393,0.08661066741
2392,0.0869898051
2391,0.08685069531
