Atom_number     X(nm)     Y(nm)     Z(nm)     
155     0.0989861567     0.9953126649     0.0070566406  
156    -0.1339562949     0.9092979902     0.0129787112  
157    -0.3519606235     0.8232833154     0.0952670422  
158    -0.5307160977     0.7372686407     0.2447452585  
159    -0.6502888183     0.6512539659     0.4447443114  
160    -0.6973446453     0.5652392912     0.6729613262  
161    -0.6666361526     0.4792246164     0.9039467049  
162    -0.5615877948     0.3932099417     1.1119421356  
163    -0.3939140293     0.3071952670     1.2737530284  
164    -0.1823129794     0.2211805922     1.3713350575  
165     0.1269870749     1.7940203590     1.3839205697  
166     0.3458167446     1.7080056843     1.3038528961  
167     0.5260826940     1.6219910095     1.1561997750  
168     0.6476825834     1.5359763348     0.9574267295  
169     0.6970562131     1.4499616600     0.7296999165  
170     0.6686976877     1.3639469853     0.4984142690  
171     0.5657694053     1.2779323105     0.2893615834  
172     0.3997494032     1.1919176358     0.1258543493  
173     0.1891513857     1.1059029610     0.0261260599  
174    -0.0425398300     1.0198882863     0.0012979056  
175    -0.2694872208     0.9338736115     0.0541385956  
176    -0.4663827706     0.8478589368     0.1787556055  
177    -0.6112696915     0.7618442620     0.3612522817  
178    -0.6879909328     0.6758295873     0.5812775253  
179    -0.6879909328     0.5898149126     0.8142952429  
180    -0.6112696915     0.5038002378     1.0343204865  
181    -0.4663827706     0.4177855631     1.2168171627  
182    -0.2694872208     0.3317708883     1.3414341726  
183    -0.0425398300     0.2457562136     1.3942748626  
184     0.1754557280     1.9291862765     1.3731537844  
185     0.3880379378     1.8431716017     1.2777281024  
186     0.5573481351     1.7571569270     1.1176302767  
187     0.6645057098     1.6711422522     0.9107136005  
188     0.6975609955     1.5851275775     0.6800523667  
189     0.6528278353     1.4991129027     0.4513687401  
190     0.5352946432     1.4130982280     0.2501643529  
191     0.3580681215     1.3270835532     0.0988764925  
192     0.1409116684     1.2410688785     0.0143760099  
193    -0.0919585356     1.1550542037     0.0060859680  
194    -0.3145739925     1.0690395290     0.0749308302  
195    -0.5021097615     0.9830248543     0.2132333682  
196    -0.6336528098     0.8970101795     0.4055707882  
197    -0.6945341272     0.8109955048     0.6304946017  
198    -0.6779645396     0.7249808300     0.8629224517  
199    -0.5857918030     0.6389661553     1.0769351694  
200    -0.4282945510     0.5529514805     1.2486671475  
201    -0.2230360741     0.4669368058     1.3589677113  
202     0.0070942486     0.3809221310     1.3955367044  
203     0.0849214091     2.0397765726     1.3903859741  
204     0.3082252919     1.9537618978     1.3238079550  
205     0.4971574615     1.8677472231     1.1874192020  
206     0.6306491656     1.7817325483     0.9964290933  
207     0.6938140900     1.6957178736     0.7721358722  
208     0.6796084042     1.6097031988     0.5395515752  
209     0.5896162540     1.5236885241     0.3246128175  
210     0.4338731051     1.4376738493     0.1512884733  
211     0.2297466395     1.3516591746     0.0389067901  
212     0.0000000000     1.2656444998     0.0000000000  
213    -0.2297466395     1.1796298251     0.0389067901  
214    -0.4338731051     1.0936151504     0.1512884733  
215    -0.5896162540     1.0076004756     0.3246128175  
216    -0.6796084042     0.9215858009     0.5395515752  
217    -0.6938140900     0.8355711261     0.7721358722  
218    -0.6306491656     0.7495564514     0.9964290933  
219    -0.4971574615     0.6635417766     1.1874192020  
220    -0.3082252919     0.5775271019     1.3238079550  
221    -0.0849214091     0.4915124271     1.3903859741  
222     0.1339562949     2.1749424900     1.3825940570  
223     0.3519606235     2.0889278153     1.3003057260  
224     0.5307160977     2.0029131405     1.1508275097  
225     0.6502888183     1.9168984658     0.9508284568  
226     0.6973446453     1.8308837910     0.7226114420  
227     0.6666361526     1.7448691163     0.4916260633  
228     0.5615877948     1.6588544416     0.2836306326  
229     0.3939140293     1.5728397668     0.1218197398  
230     0.1823129794     1.4868250921     0.0242377107  
231    -0.0496186845     1.4008104173     0.0017663959  
232    -0.2760171256     1.3147957426     0.0569116817  
233    -0.4716355441     1.2287810678     0.1835240470  
234    -0.6146595712     1.1427663931     0.3674843263  
235    -0.6891398965     1.0567517183     0.5882782071  
236    -0.6867708540     0.9707370436     0.8212838816  
237    -0.6078166272     0.8847223688     1.0405177448  
238    -0.4610817888     0.7987076941     1.2215319539  
239    -0.2629294601     0.7126930193     1.3441407272  
240    -0.0354565784     0.6266783446     1.3946713595  
241     0.0425398300     2.2855327861     1.3942748626  
242     0.2694872208     2.1995181114     1.3414341726  
243     0.4663827706     2.1135034366     1.2168171627  
244     0.6112696915     2.0274887619     1.0343204865  
245     0.6879909328     1.9414740871     0.8142952429  
246     0.6879909328     1.8554594124     0.5812775253  
247     0.6112696915     1.7694447377     0.3612522817  
248     0.4663827706     1.6834300629     0.1787556055  
249     0.2694872208     1.5974153882     0.0541385956  
250     0.0425398300     1.5114007134     0.0012979056  
251    -0.1891513857     1.4253860387     0.0261260599  
252    -0.3997494032     1.3393713639     0.1258543493  
253    -0.5657694053     1.2533566892     0.2893615834  
254    -0.6686976877     1.1673420144     0.4984142690  
255    -0.6970562131     1.0813273397     0.7296999165  
256    -0.6476825834     0.9953126649     0.9574267295  
257    -0.5260826940     0.9092979902     1.1561997750  
258    -0.3458167446     0.8232833154     1.3038528961  
259    -0.1269870749     0.7372686407     1.3839205697  
260     0.0919585356     2.4206987036     1.3894868001  
261     0.3145739925     2.3346840288     1.3206419380  
262     0.5021097615     2.2486693541     1.1823394000  
263     0.6336528098     2.1626546794     0.9900019800  
264     0.6945341272     2.0766400046     0.7650781665  
265     0.6779645396     1.9906253299     0.5326503165  
266     0.5857918030     1.9046106551     0.3186375988  
267     0.4282945510     1.8185959804     0.1469056207  
268     0.2230360741     1.7325813056     0.0366050569  
269    -0.0070942486     1.6465666309     0.0000360638  
270    -0.2364334569     1.5605519561     0.0412766292  
271    -0.4394068114     1.4745372814     0.1557278154  
272    -0.5933797586     1.3885226066     0.3306266097  
273    -0.6811820202     1.3025079319     0.5464691902  
274    -0.6930223357     1.2164932571     0.7791858927  
275    -0.6275803336     1.1304785824     1.0028253369  
276    -0.4921537721     1.0444639076     1.1924483924  
277    -0.3018447311     0.9584492329     1.3269092625  
278    -0.0778755045     0.8724345581     1.3912135566  
279     0.2297466395     2.4452743250     1.3566659781  
280     0.4338731051     2.3592596502     1.2442842949  
281     0.5896162540     2.2732449755     1.0709599507  
282     0.6796084042     2.1872303007     0.8560211930  
283     0.6938140900     2.1012156260     0.6234368960  
284     0.6306491656     2.0152009512     0.3991436749  
285     0.4971574615     1.9291862765     0.2081535662  
286     0.3082252919     1.8431716017     0.0717648132  
287     0.0849214091     1.7571569270     0.0051867941  
288    -0.1478524763     1.6711422522     0.0158439502  
289    -0.3641386073     1.5851275775     0.1025478500  
290    -0.5398178573     1.4991129027     0.2556297164  
291    -0.6552993719     1.4130982280     0.4580186402  
292    -0.6977052414     1.3270835532     0.6871452404  
293    -0.6623065794     1.2410688785     0.9174584867  
294    -0.5530508643     1.1550542037     1.1232750200  
295    -0.3821217364     1.0690395290     1.2816432299  
296    -0.1685803405     0.9830248543     1.3749027010  
297     0.0496186845     2.6664549172     1.3938063723  
298     0.2760171256     2.5804402424     1.3386610865  
299     0.4716355441     2.4944255677     1.2120487212  
300     0.6146595712     2.4084108929     1.0280884419  
301     0.6891398965     2.3223962182     0.8072945611  
302     0.6867708540     2.2363815434     0.5742888866  
303     0.6078166272     2.1503668687     0.3550550234  
304     0.4610817888     2.0643521939     0.1740408143  
305     0.2629294601     1.9783375192     0.0514320410  
306     0.0354565784     1.8923228444     0.0009014087  
307    -0.1959702402     1.8063081697     0.0280838361  
308    -0.4055434566     1.7202934949     0.1299480773  
309    -0.5698925343     1.6342788202     0.2951347516  
310    -0.6706901020     1.5482641454     0.5052230831  
311    -0.6966957289     1.4622494707     0.7367850922  
312    -0.6450093999     1.3762347960     0.9639981642  
313    -0.5213949111     1.2902201212     1.1615246557  
314    -0.3396371199     1.2042054465     1.3073374194  
315    -0.1200047287     1.1181907717     1.3851761592  
316     0.1891513857     2.6910305385     1.3694467083  
317     0.3997494032     2.6050158638     1.2697184189  
318     0.5657694053     2.5190011890     1.1062111848  
319     0.6686976877     2.4329865143     0.8971584992  
320     0.6970562131     2.3469718395     0.6658728517  
321     0.6476825834     2.2609571648     0.4381460387  
322     0.5260826940     2.1749424900     0.2393729932  
323     0.3458167446     2.0889278153     0.0917198721  
324     0.1269870749     2.0029131405     0.0116521985  
325    -0.1060035460     1.9168984658     0.0080987113  
326    -0.3271731918     1.8308837910     0.0814556771  
327    -0.5118581513     1.7448691163     0.2235427012  
328    -0.6394632994     1.6588544416     0.4185149631  
329    -0.6957587604     1.5728397668     0.6446301500  
330    -0.6744667515     1.4868250921     0.8766730492  
331    -0.5779616491     1.4008104173     1.0887674195  
332    -0.4170052101     1.3147957426     1.2572615780  
333    -0.2095464761     1.2287810678     1.3633659152  
334     0.0212798126     1.1427663931     1.3952482163  
335     0.0070942486     2.9122111307     1.3955367044  
336     0.2364334569     2.8261964560     1.3542961390  
337     0.4394068114     2.7401817812     1.2398449528  
338     0.5933797586     2.6541671065     1.0649461585  
339     0.6811820202     2.5681524317     0.8491035780  
340     0.6930223357     2.4821377570     0.6163868755  
341     0.6275803336     2.3961230822     0.3927474312  
342     0.4921537721     2.3101084075     0.2031243758  
343     0.3018447311     2.2240937327     0.0686635057  
344     0.0778755045     2.1380790580     0.0043592116  
345    -0.1547780013     2.0520643833     0.0173823805  
346    -0.3701714535     1.9660497085     0.1062807350  
347    -0.5442852724     1.8800350338     0.2611407840  
348    -0.6577031726     1.7940203590     0.4646933241  
349    -0.6977773681     1.7080056843     0.6942392140  
350    -0.6600389889     1.6219910095     0.9241806662  
351    -0.5486964267     1.5359763348     1.1288757822  
352    -0.3761660364     1.4499616600     1.2854980063  
353    -0.1616875274     1.3639469853     1.3765816267  
354     0.1478524763     2.9367867521     1.3797288179  
355     0.3641386073     2.8507720773     1.2930249182  
356     0.5398178573     2.7647574026     1.1399430518  
357     0.6552993719     2.6787427278     0.9375541280  
358     0.6977052414     2.5927280531     0.7084275278  
359     0.6623065794     2.5067133783     0.4781142815  
360     0.5530508643     2.4206987036     0.2722977482  
361     0.3821217364     2.3346840288     0.1139295383  
362     0.1685803405     2.2486693541     0.0206700672  
363    -0.0637602755     2.1626546794     0.0029191557  
364    -0.2889906706     2.0766400046     0.0626562950  
365    -0.4819942995     1.9906253299     0.1932199037  
366    -0.6212483814     1.9046106551     0.3800501940  
367    -0.6912240110     1.8185959804     0.6023128043  
368    -0.6841178630     1.7325813056     0.8352221415  
369    -0.6007223786     1.6465666309     1.0528053437  
370    -0.4503373972     1.5605519561     1.2307986415  
371    -0.2497330851     1.4745372814     1.3493531297  
372    -0.0212798126     1.3885226066     1.3952482163  
373     0.1959702402     3.0719526695     1.3674889321  
374     0.4055434566     2.9859379948     1.2656246909  
375     0.5698925343     2.8999233200     1.1004380166  
376     0.6706901020     2.8139086453     0.8903496851  
377     0.6966957289     2.7278939706     0.6587876760  
378     0.6450093999     2.6418792958     0.4315746040  
379     0.5213949111     2.5558646211     0.2340481125  
380     0.3396371199     2.4698499463     0.0882353488  
381     0.1200047287     2.3838352716     0.0103966090  
382    -0.1130099781     2.2978205968     0.0092120724  
383    -0.3334223882     2.2118059221     0.0848138326  
384    -0.5166532335     2.1257912473     0.2287711667  
385    -0.6422695442     2.0397765726     0.4250306867  
386    -0.6962632297     1.9537618978     0.6517065315  
387    -0.6726131895     1.8677472231     0.8835209665  
388    -0.5739567556     1.7817325483     1.0946232278  
389    -0.4112955904     1.6957178736     1.2614722675  
390    -0.2027688379     1.6097031988     1.3654619312  
391     0.0283696617     1.5236885241     1.3949958219  
392     0.1060035460     3.1825429656     1.3874740569  
393     0.3271731918     3.0965282909     1.3141170911  
394     0.5118581513     3.0105136161     1.1720300670  
395     0.6394632994     2.9244989414     0.9770578051  
396     0.6957587604     2.8384842667     0.7509426182  
397     0.6744667515     2.7524695919     0.5188997190  
398     0.5779616491     2.6664549172     0.3068053487  
399     0.4170052101     2.5804402424     0.1383111902  
400     0.2095464761     2.4944255677     0.0322068530  
401    -0.0212798126     2.4084108929     0.0003245519  
402    -0.2497330851     2.3223962182     0.0462196384  
403    -0.4503373972     2.2363815434     0.1647741267  
404    -0.6007223786     2.1503668687     0.3427674245  
405    -0.6841178630     2.0643521939     0.5603506267  
406    -0.6912240110     1.9783375192     0.7932599639  
407    -0.6212483814     1.8923228444     1.0155225742  
408    -0.4819942995     1.8063081697     1.2023528645  
409    -0.2889906706     1.7202934949     1.3329164732  
410    -0.0637602755     1.6342788202     1.3926536125  
411     0.1547780013     3.3177088831     1.3781903877  
412     0.3701714535     3.2316942084     1.2892920332  
413     0.5442852724     3.1456795336     1.1344319842  
414     0.6577031726     3.0596648589     0.9308794441  
415     0.6977773681     2.9736501841     0.7013335542  
416     0.6600389889     2.8876355094     0.4713921020  
417     0.5486964267     2.8016208346     0.2666969860  
418     0.3761660364     2.7156061599     0.1100747618  
419     0.1616875274     2.6295914851     0.0189911415  
420    -0.0708215503     2.5435768104     0.0036033061  
421    -0.2954329698     2.4575621356     0.0656272283  
422    -0.4870992106     2.3715474609     0.1981463168  
423    -0.6244466308     2.2855327861     0.3863827183  
424    -0.6921589463     2.1995181114     0.6093452690  
425    -0.6826852249     2.1135034366     0.8421703220  
426    -0.5970819277     2.0274887619     1.0588944143  
427    -0.4448950979     1.9414740871     1.2353495801  
428    -0.2430958350     1.8554594124     1.3518584389  
429    -0.0141877639     1.7694447377     1.3954285167  
430     0.0637602755     3.4282991792     1.3926536125  
431     0.2889906706     3.3422845045     1.3329164732  
432     0.4819942995     3.2562698297     1.2023528645  
433     0.6212483814     3.1702551550     1.0155225742  
434     0.6912240110     3.0842404802     0.7932599639  
435     0.6841178630     2.9982258055     0.5603506267  
436     0.6007223786     2.9122111307     0.3427674245  
437     0.4503373972     2.8261964560     0.1647741267  
438     0.2497330851     2.7401817812     0.0462196384  
439     0.0212798126     2.6541671065     0.0003245519  
440    -0.2095464761     2.5681524317     0.0322068530  
441    -0.4170052101     2.4821377570     0.1383111902  
442    -0.5779616491     2.3961230822     0.3068053487  
443    -0.6744667515     2.3101084075     0.5188997190  
444    -0.6957587604     2.2240937327     0.7509426182  
445    -0.6394632994     2.1380790580     0.9770578051  
446    -0.5118581513     2.0520643833     1.1720300670  
447    -0.3271731918     1.9660497085     1.3141170911  
448    -0.1060035460     1.8800350338     1.3874740569  
449     0.1130099781     3.5634650967     1.3863606958  
450     0.3334223882     3.4774504219     1.3107589356  
451     0.5166532335     3.3914357472     1.1668016015  
452     0.6422695442     3.3054210724     0.9705420815  
453     0.6962632297     3.2194063977     0.7438662367  
454     0.6726131895     3.1333917229     0.5120518017  
455     0.5739567556     3.0473770482     0.3009495404  
456     0.4112955904     2.9613623734     0.1341005007  
457     0.2027688379     2.8753476987     0.0301108370  
458    -0.0283696617     2.7893330239     0.0005769463  
459    -0.2563445213     2.7033183492     0.0487922976  
460    -0.4557331467     2.6173036744     0.1693801608  
461    -0.6043007350     2.5312889997     0.3488931920  
462    -0.6854797863     2.4452743250     0.5673130134  
463    -0.6902176264     2.3592596502     0.8002825598  
464    -0.6179859157     2.2732449755     1.0218222552  
465    -0.4768395664     2.1872303007     1.2072271224  
466    -0.2825184996     2.1012156260     1.3358217556  
467    -0.0566924100     2.0152009512     1.3932659370  
468     0.0212798126     3.6740553928     1.3952482163  
469     0.2497330851     3.5880407180     1.3493531297  
470     0.4503373972     3.5020260433     1.2307986415  
471     0.6007223786     3.4160113685     1.0528053437  
472     0.6841178630     3.3299966938     0.8352221415  
473     0.6912240110     3.2439820190     0.6023128043  
474     0.6212483814     3.1579673443     0.3800501940  
475     0.4819942995     3.0719526695     0.1932199037  
476     0.2889906706     2.9859379948     0.0626562950  
477     0.0637602755     2.8999233200     0.0029191557  
478    -0.1685803405     2.8139086453     0.0206700672  
479    -0.3821217364     2.7278939706     0.1139295383  
480    -0.5530508643     2.6418792958     0.2722977482  
481    -0.6623065794     2.5558646211     0.4781142815  
482    -0.6977052414     2.4698499463     0.7084275278  
483    -0.6552993719     2.3838352716     0.9375541280  
484    -0.5398178573     2.2978205968     1.1399430518  
485    -0.3641386073     2.2118059221     1.2930249182  
486    -0.1478524763     2.1257912473     1.3797288179  
487     0.0708215503     3.8092213102     1.3919694621  
488     0.2954329698     3.7232066355     1.3299455399  
489     0.4870992106     3.6371919607     1.1974264514  
490     0.6244466308     3.5511772860     1.0091900499  
491     0.6921589463     3.4651626112     0.7862274992  
492     0.6826852249     3.3791479365     0.5534024462  
493     0.5970819277     3.2931332617     0.3366783539  
494     0.4448950979     3.2071185870     0.1602231881  
495     0.2430958350     3.1211039123     0.0437143293  
496     0.0141877639     3.0350892375     0.0001442515  
497    -0.2163024543     2.9490745628     0.0343716676  
498    -0.4226717256     2.8630598880     0.1425797106  
499    -0.5819068008     2.7770452133     0.3127015714  
500    -0.6762505963     2.6910305385     0.5257661272  
501    -0.6951823730     2.6050158638     0.7580135050  
502    -0.6365909556     2.5190011890     0.9835446614  
503    -0.5070101603     2.4329865143     1.1772095116  
504    -0.3208901768     2.3469718395     1.3174115387  
505    -0.0989861567     2.2609571648     1.3885161276  
506     0.2095464761     3.8337969316     1.3633659152  
507     0.4170052101     3.7477822568     1.2572615780  
508     0.5779616491     3.6617675821     1.0887674195  
509     0.6744667515     3.5757529073     0.8766730492  
510     0.6957587604     3.4897382326     0.6446301500  
511     0.6394632994     3.4037235578     0.4185149631  
512     0.5118581513     3.3177088831     0.2235427012  
513     0.3271731918     3.2316942084     0.0814556771  
514     0.1060035460     3.1456795336     0.0080987113  
515    -0.1269870749     3.0596648589     0.0116521985  
516    -0.3458167446     2.9736501841     0.0917198721  
517    -0.5260826940     2.8876355094     0.2393729932  
518    -0.6476825834     2.8016208346     0.4381460387  
519    -0.6970562131     2.7156061599     0.6658728517  
520    -0.6686976877     2.6295914851     0.8971584992  
521    -0.5657694053     2.5435768104     1.1062111848  
522    -0.3997494032     2.4575621356     1.2697184189  
523    -0.1891513857     2.3715474609     1.3694467083  
524     0.0425398300     2.2855327861     1.3942748626  
525     0.0283696617     4.0549775238     1.3949958219  
526     0.2563445213     3.9689628490     1.3467804705  
527     0.4557331467     3.8829481743     1.2261926074  
528     0.6043007350     3.7969334995     1.0466795761  
529     0.6854797863     3.7109188248     0.8282597548  
530     0.6902176264     3.6249041501     0.5952902084  
531     0.6179859157     3.5388894753     0.3737505130  
532     0.4768395664     3.4528748006     0.1883456458  
533     0.2825184996     3.3668601258     0.0597510126  
534     0.0566924100     3.2808454511     0.0023068312  
535    -0.1754557280     3.1948307763     0.0224189838  
536    -0.3880379378     3.1088161016     0.1178446658  
537    -0.5573481351     3.0228014268     0.2779424915  
538    -0.6645057098     2.9367867521     0.4848591677  
539    -0.6975609955     2.8507720773     0.7155204015  
540    -0.6528278353     2.7647574026     0.9442040281  
541    -0.5352946432     2.6787427278     1.1454084153  
542    -0.3580681215     2.5927280531     1.2966962757  
543    -0.1409116684     2.5067133783     1.3811967583  
544     0.1685803405     4.0795531451     1.3749027010  
545     0.3821217364     3.9935384704     1.2816432299  
546     0.5530508643     3.9075237957     1.1232750200  
547     0.6623065794     3.8215091209     0.9174584867  
548     0.6977052414     3.7354944462     0.6871452404  
549     0.6552993719     3.6494797714     0.4580186402  
550     0.5398178573     3.5634650967     0.2556297164  
551     0.3641386073     3.4774504219     0.1025478500  
552     0.1478524763     3.3914357472     0.0158439502  
553    -0.0849214091     3.3054210724     0.0051867941  
554    -0.3082252919     3.2194063977     0.0717648132  
555    -0.4971574615     3.1333917229     0.2081535662  
556    -0.6306491656     3.0473770482     0.3991436749  
557    -0.6938140900     2.9613623734     0.6234368960  
558    -0.6796084042     2.8753476987     0.8560211930  
559    -0.5896162540     2.7893330239     1.0709599507  
560    -0.4338731051     2.7033183492     1.2442842949  
561    -0.2297466395     2.6173036744     1.3566659781  
562    -0.0000000000     2.5312889997     1.3955727682  
563     0.2163024543     4.2147190626     1.3612011006  
564     0.4226717256     4.1287043879     1.2529930576  
565     0.5819068008     4.0426897131     1.0828711968  
566     0.6762505963     3.9566750384     0.8698066410  
567     0.6951823730     3.8706603636     0.6375592632  
568     0.6365909556     3.7846456889     0.4120281068  
569     0.5070101603     3.6986310141     0.2183632566  
