Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y
Film T1S (SWCNT),1280.8359375,0.00727467849319316,Film T1S (Converted to DWCNT),1280.939453125,0.0504193756314747,Film T2S (SWCNT),1280.357421875,0.00617258619998736,Film T2S (Converted to DWCNT),1280.078125,0.0330581049921855,Film T9M (SWCNT),1280.357421875,0.0350355004664068,Film T9M (Converted to DWCNT),1280.734375,0.0548707456133858
Film T1S (SWCNT),1281.21484375,0.00782099581652317,Film T1S (Converted to DWCNT),1281.318359375,0.0527135395781689,Film T2S (SWCNT),1280.734375,0.00597952506030235,Film T2S (Converted to DWCNT),1280.458984375,0.030118968664203,Film T9M (SWCNT),1280.734375,0.0364876340633492,Film T9M (Converted to DWCNT),1281.111328125,0.0486700282013652
Film T1S (SWCNT),1281.591796875,0.00625139396384805,Film T1S (Converted to DWCNT),1281.6953125,0.0490024252774693,Film T2S (SWCNT),1281.111328125,0.00368049329663212,Film T2S (Converted to DWCNT),1280.8359375,0.03245192628975,Film T9M (SWCNT),1281.111328125,0.0369270146564589,Film T9M (Converted to DWCNT),1281.490234375,0.0508875715792109
Film T1S (SWCNT),1281.96875,0.00955191126906723,Film T1S (Converted to DWCNT),1282.072265625,0.052687994189189,Film T2S (SWCNT),1281.490234375,0.00410083295327891,Film T2S (Converted to DWCNT),1281.21484375,0.0372044358164977,Film T9M (SWCNT),1281.490234375,0.0333652654179868,Film T9M (Converted to DWCNT),1281.8671875,0.0713096535452626
Film T1S (SWCNT),1282.34765625,0.00588252350429485,Film T1S (Converted to DWCNT),1282.453125,0.0452086013489075,Film T2S (SWCNT),1281.8671875,0.00555633259901189,Film T2S (Converted to DWCNT),1281.591796875,0.0324701359991984,Film T9M (SWCNT),1281.8671875,0.0314233150889942,Film T9M (Converted to DWCNT),1282.24609375,0.0382525820222519
Film T1S (SWCNT),1282.724609375,0.00827646060480153,Film T1S (Converted to DWCNT),1282.828125,0.0496071111632324,Film T2S (SWCNT),1282.24609375,0.00480923284912114,Film T2S (Converted to DWCNT),1281.96875,0.0335529352703418,Film T9M (SWCNT),1282.24609375,0.0290756722211376,Film T9M (Converted to DWCNT),1282.623046875,0.0608011365844264
Film T1S (SWCNT),1283.1015625,0.00638682446080242,Film T1S (Converted to DWCNT),1283.20703125,0.05519431770592,Film T2S (SWCNT),1282.623046875,0.00565104733819617,Film T2S (Converted to DWCNT),1282.34765625,0.0352067890471657,Film T9M (SWCNT),1282.623046875,0.0396466435490767,Film T9M (Converted to DWCNT),1283,0.0542921599193162
Film T1S (SWCNT),1283.48046875,0.00637858675578402,Film T1S (Converted to DWCNT),1283.5859375,0.0501228262027867,Film T2S (SWCNT),1283,0.00484352673153166,Film T2S (Converted to DWCNT),1282.724609375,0.0296816944085969,Film T9M (SWCNT),1283,0.0346640159440017,Film T9M (Converted to DWCNT),1283.380859375,0.0507427503084763
Film T1S (SWCNT),1283.857421875,0.00847069163607603,Film T1S (Converted to DWCNT),1283.9609375,0.0543869773924799,Film T2S (SWCNT),1283.380859375,0.00672096798591853,Film T2S (Converted to DWCNT),1283.1015625,0.0374816128851813,Film T9M (SWCNT),1283.380859375,0.0360655649535539,Film T9M (Converted to DWCNT),1283.7578125,0.0522753918664639
Film T1S (SWCNT),1284.234375,0.00888263318722165,Film T1S (Converted to DWCNT),1284.33984375,0.0475144674232014,Film T2S (SWCNT),1283.7578125,0.00596147518386899,Film T2S (Converted to DWCNT),1283.48046875,0.0267057789838299,Film T9M (SWCNT),1283.7578125,0.0291046458676381,Film T9M (Converted to DWCNT),1284.134765625,0.0589693407178314
Film T1S (SWCNT),1284.615234375,0.00670642793511936,Film T1S (Converted to DWCNT),1284.71875,0.0504544203127729,Film T2S (SWCNT),1284.134765625,0.00644228140658557,Film T2S (Converted to DWCNT),1283.857421875,0.0420961137664717,Film T9M (SWCNT),1284.134765625,0.0345093502722999,Film T9M (Converted to DWCNT),1284.513671875,0.0580740467954185
Film T1S (SWCNT),1284.9921875,0.00774008367582171,Film T1S (Converted to DWCNT),1285.09375,0.0502704870749095,Film T2S (SWCNT),1284.513671875,0.005574107792253,Film T2S (Converted to DWCNT),1284.234375,0.0303388773471371,Film T9M (SWCNT),1284.513671875,0.0359613053347118,Film T9M (Converted to DWCNT),1284.890625,0.0612009642450191
Film T1S (SWCNT),1285.37109375,0.00894205044546236,Film T1S (Converted to DWCNT),1285.47265625,0.0511731336013306,Film T2S (SWCNT),1284.890625,0.00736791832070747,Film T2S (Converted to DWCNT),1284.615234375,0.0359375607830732,Film T9M (SWCNT),1284.890625,0.0413167541814087,Film T9M (Converted to DWCNT),1285.267578125,0.0544577351264261
Film T1S (SWCNT),1285.74609375,0.00647907633664791,Film T1S (Converted to DWCNT),1285.8515625,0.0536044128180953,Film T2S (SWCNT),1285.267578125,0.00582493468623373,Film T2S (Converted to DWCNT),1284.9921875,0.0332924964312757,Film T9M (SWCNT),1285.267578125,0.0428198735433463,Film T9M (Converted to DWCNT),1285.646484375,0.0717845231470136
Film T1S (SWCNT),1286.125,0.00806775751442595,Film T1S (Converted to DWCNT),1286.228515625,0.051755606926977,Film T2S (SWCNT),1285.646484375,0.00795640765550807,Film T2S (Converted to DWCNT),1285.37109375,0.036470352518369,Film T9M (SWCNT),1285.646484375,0.0404189162098598,Film T9M (Converted to DWCNT),1286.0234375,0.0596482842786203
Film T1S (SWCNT),1286.50390625,0.00863095965392336,Film T1S (Converted to DWCNT),1286.60546875,0.0552404950724689,Film T2S (SWCNT),1286.0234375,0.00619618867348663,Film T2S (Converted to DWCNT),1285.74609375,0.036056238177518,Film T9M (SWCNT),1286.0234375,0.0400455513254751,Film T9M (Converted to DWCNT),1286.40234375,0.0633834048566366
Film T1S (SWCNT),1286.87890625,0.00976591692131629,Film T1S (Converted to DWCNT),1286.984375,0.0544444964602348,Film T2S (SWCNT),1286.40234375,0.0055683655837163,Film T2S (Converted to DWCNT),1286.125,0.0405684338057767,Film T9M (SWCNT),1286.40234375,0.048395329110147,Film T9M (Converted to DWCNT),1286.77734375,0.0751685807202463
Film T1S (SWCNT),1287.2578125,0.0106152200488198,Film T1S (Converted to DWCNT),1287.361328125,0.0572844091396467,Film T2S (SWCNT),1286.77734375,0.00668795713656625,Film T2S (Converted to DWCNT),1286.50390625,0.0391470779988818,Film T9M (SWCNT),1286.77734375,0.0436601395915687,Film T9M (Converted to DWCNT),1287.15625,0.0789051891725249
Film T1S (SWCNT),1287.63671875,0.00882380282406969,Film T1S (Converted to DWCNT),1287.73828125,0.0517981958603072,Film T2S (SWCNT),1287.15625,0.00689166291789342,Film T2S (Converted to DWCNT),1286.87890625,0.0350573482087695,Film T9M (SWCNT),1287.15625,0.0479534798033878,Film T9M (Converted to DWCNT),1287.53515625,0.060458306210329
Film T1S (SWCNT),1288.01171875,0.00910101870608292,Film T1S (Converted to DWCNT),1288.1171875,0.0502874207374909,Film T2S (SWCNT),1287.53515625,0.00804768133399837,Film T2S (Converted to DWCNT),1287.2578125,0.0413401142269827,Film T9M (SWCNT),1287.53515625,0.0484933571726047,Film T9M (Converted to DWCNT),1287.91015625,0.0568976721492844
Film T1S (SWCNT),1288.388671875,0.00996711242843493,Film T1S (Converted to DWCNT),1288.494140625,0.0525154889227636,Film T2S (SWCNT),1287.91015625,0.00403194732162032,Film T2S (Converted to DWCNT),1287.63671875,0.0350982448159394,Film T9M (SWCNT),1287.91015625,0.0389362622147468,Film T9M (Converted to DWCNT),1288.2890625,0.0699027532940399
Film T1S (SWCNT),1288.767578125,0.0109006783032761,Film T1S (Converted to DWCNT),1288.87109375,0.0559677337134667,Film T2S (SWCNT),1288.2890625,0.00712901243252834,Film T2S (Converted to DWCNT),1288.01171875,0.0348734410151612,Film T9M (SWCNT),1288.2890625,0.0480503524795701,Film T9M (Converted to DWCNT),1288.66796875,0.070294868251072
