Name,X,Y,Name,X,Y
Test Film Sample (SWCNT),1222.49609375,0.0240173001841545,Test Film Sample (Converted to DWCNT),1223.4287109375,0.00145848734848854
Test Film Sample (SWCNT),1222.7548828125,0.0254396335171887,Test Film Sample (Converted to DWCNT),1223.689453125,0.0115536535642394
Test Film Sample (SWCNT),1223.0126953125,0.0251701735071817,Test Film Sample (Converted to DWCNT),1223.9462890625,0.00227826337064408
Test Film Sample (SWCNT),1223.2724609375,0.0249021928610326,Test Film Sample (Converted to DWCNT),1224.2060546875,0.00850094303387918
Test Film Sample (SWCNT),1223.5322265625,0.012792474038251,Test Film Sample (Converted to DWCNT),1224.4638671875,0.00856957323020474
Test Film Sample (SWCNT),1223.7900390625,0.0325816238938936,Test Film Sample (Converted to DWCNT),1224.7236328125,0.00533274345540344
Test Film Sample (SWCNT),1224.0498046875,0.0261500753557248,Test Film Sample (Converted to DWCNT),1224.9814453125,0.00403274226964346
Test Film Sample (SWCNT),1224.3076171875,0.0214074030445751,Test Film Sample (Converted to DWCNT),1225.2392578125,0.00592518086501079
Test Film Sample (SWCNT),1224.5654296875,0.0121902313905361,Test Film Sample (Converted to DWCNT),1225.4990234375,0.00770455620657691
Test Film Sample (SWCNT),1224.82421875,0.0279999719960208,Test Film Sample (Converted to DWCNT),1225.7587890625,0.00515012661609492
Test Film Sample (SWCNT),1225.0830078125,0.0209585176245298,Test Film Sample (Converted to DWCNT),1226.0166015625,0.00487595414265318
Test Film Sample (SWCNT),1225.341796875,0.0208088298308717,Test Film Sample (Converted to DWCNT),1226.2744140625,0.00574257113197456
Test Film Sample (SWCNT),1225.599609375,0.0245288802660043,Test Film Sample (Converted to DWCNT),1226.5341796875,0.00626757611711768
Test Film Sample (SWCNT),1225.859375,0.0237753240627467,Test Film Sample (Converted to DWCNT),1226.791015625,0.0136390573756594
Test Film Sample (SWCNT),1226.1171875,0.0216889480733195,Test Film Sample (Converted to DWCNT),1227.05078125,0.00788781753208226
Test Film Sample (SWCNT),1226.375,0.0238371199374204,Test Film Sample (Converted to DWCNT),1227.30859375,0.00807026498720363
Test Film Sample (SWCNT),1226.634765625,0.0184839890900145,Test Film Sample (Converted to DWCNT),1227.568359375,0.0101940164745629
Test Film Sample (SWCNT),1226.892578125,0.0283785229992611,Test Film Sample (Converted to DWCNT),1227.826171875,0.00272678417059436
Test Film Sample (SWCNT),1227.15234375,0.0157610912165692,Test Film Sample (Converted to DWCNT),1228.0830078125,0.0117011542528517
