Name,X,Y,Name,X,Y
Test Film Sample (SWCNT),1072.376953125,0.0134592574645928,Test Film Sample (Converted to DWCNT),1073.2265625,0.0139015686110528
Test Film Sample (SWCNT),1072.75,0.0137430221023512,Test Film Sample (Converted to DWCNT),1073.6015625,0.0126679839712823
Test Film Sample (SWCNT),1073.126953125,0.011782415898535,Test Film Sample (Converted to DWCNT),1073.9765625,0.0135032400800529
Test Film Sample (SWCNT),1073.501953125,0.0145296274209409,Test Film Sample (Converted to DWCNT),1074.3515625,0.0137831531011877
Test Film Sample (SWCNT),1073.875,0.0133614113285779,Test Film Sample (Converted to DWCNT),1074.7265625,0.0137297646317029
Test Film Sample (SWCNT),1074.248046875,0.0169899923120155,Test Film Sample (Converted to DWCNT),1075.099609375,0.0124401185744785
Test Film Sample (SWCNT),1074.625,0.0139283888848251,Test Film Sample (Converted to DWCNT),1075.47265625,0.0136787810687015
Test Film Sample (SWCNT),1074.998046875,0.0117911728354011,Test Film Sample (Converted to DWCNT),1075.849609375,0.0130416197329963
Test Film Sample (SWCNT),1075.373046875,0.0126908624292245,Test Film Sample (Converted to DWCNT),1076.22265625,0.0133634521104716
Test Film Sample (SWCNT),1075.74609375,0.0132828887384951,Test Film Sample (Converted to DWCNT),1076.59765625,0.0135740360148317
Test Film Sample (SWCNT),1076.123046875,0.013566065642819,Test Film Sample (Converted to DWCNT),1076.970703125,0.0133538964199057
Test Film Sample (SWCNT),1076.49609375,0.0150391376092861,Test Film Sample (Converted to DWCNT),1077.34765625,0.0131195315826291
Test Film Sample (SWCNT),1076.87109375,0.0128562907294446,Test Film Sample (Converted to DWCNT),1077.720703125,0.0128436657132588
Test Film Sample (SWCNT),1077.24609375,0.0162234740728385,Test Film Sample (Converted to DWCNT),1078.09375,0.0131378392455856
Test Film Sample (SWCNT),1077.619140625,0.0185344183984485,Test Film Sample (Converted to DWCNT),1078.470703125,0.0133066495283573
Test Film Sample (SWCNT),1077.994140625,0.0142361671594432,Test Film Sample (Converted to DWCNT),1078.84375,0.0131002407237779
Test Film Sample (SWCNT),1078.369140625,0.0150927957955042,Test Film Sample (Converted to DWCNT),1079.21875,0.0126293569735054
Test Film Sample (SWCNT),1078.7421875,0.0163466251480544,Test Film Sample (Converted to DWCNT),1079.59375,0.0127843801439387
Test Film Sample (SWCNT),1079.115234375,0.0108127275974137,Test Film Sample (Converted to DWCNT),1079.966796875,0.0126195680574608
Test Film Sample (SWCNT),1079.490234375,0.0147550209826052,Test Film Sample (Converted to DWCNT),1080.341796875,0.0131085752940471
Test Film Sample (SWCNT),1079.8671875,0.0174193078486438,Test Film Sample (Converted to DWCNT),1080.71484375,0.0122618522887379
Test Film Sample (SWCNT),1080.240234375,0.0170865584627896,Test Film Sample (Converted to DWCNT),1081.08984375,0.0130710403026992
Test Film Sample (SWCNT),1080.61328125,0.0156071635453017,Test Film Sample (Converted to DWCNT),1081.462890625,0.01305928769954
Test Film Sample (SWCNT),1080.98828125,0.0128039379175971,Test Film Sample (Converted to DWCNT),1081.837890625,0.0121007526684268
Test Film Sample (SWCNT),1081.361328125,0.0153816622042339,Test Film Sample (Converted to DWCNT),1082.2109375,0.0127293299852617
Test Film Sample (SWCNT),1081.736328125,0.0164597398138559,Test Film Sample (Converted to DWCNT),1082.5859375,0.0118819258136613
Test Film Sample (SWCNT),1082.109375,0.0126853437483874,Test Film Sample (Converted to DWCNT),1082.9609375,0.0122737392277967
