242.580078, 4823.188501, 4853.702574, 4197.948556, 3400.148605, 2732.301664, 2450.705600, 2500.284406, 2535.620494
242.392578, 4797.044772, 4888.191434, 4198.648864, 3449.650252, 2724.062985, 2465.191186, 2529.965293, 2538.619984
242.201172, 4824.018270, 4851.838983, 4240.632661, 3398.320167, 2764.494732, 2433.626929, 2526.566091, 2484.487080
242.013672, 4763.186537, 4845.816717, 4205.777105, 3447.323739, 2760.839292, 2440.011285, 2514.321298, 2521.215222
241.822266, 4788.432271, 4879.422162, 4251.243711, 3503.233552, 2752.300924, 2445.900180, 2527.285683, 2530.185993
241.632813, 4795.431625, 4917.557566, 4173.007098, 3475.209109, 2774.178768, 2423.323454, 2550.317183, 2542.269235
241.445313, 4816.581361, 4885.064675, 4202.222798, 3422.549690, 2797.843363, 2481.108771, 2508.817438, 2559.494136
241.255859, 4819.670436, 4870.064717, 4170.452101, 3516.148084, 2751.592496, 2418.282673, 2516.794920, 2492.367738
241.066406, 4811.510167, 4888.342642, 4209.820677, 3493.185302, 2750.319792, 2435.763676, 2507.140854, 2526.999252
240.878906, 4744.363333, 4827.307063, 4223.589276, 3459.400352, 2792.120286, 2468.425574, 2497.211573, 2516.062780
240.689453, 4827.213501, 4921.333006, 4231.058173, 3432.507512, 2765.124242, 2470.348072, 2518.120185, 2521.956578
240.500000, 4840.056251, 4931.461588, 4228.128868, 3456.868923, 2760.766578, 2443.944185, 2531.146500, 2561.795220
240.310547, 4785.301254, 4797.774656, 4222.802328, 3482.332112, 2745.291308, 2450.691377, 2498.148348, 2548.531290
240.121094, 4859.074813, 4891.501646, 4232.173938, 3442.415931, 2799.535666, 2474.627166, 2552.084615, 2558.579758
239.931641, 4777.106601, 4903.467245, 4258.432757, 3412.435918, 2811.186634, 2448.216541, 2525.642318, 2545.614505
239.744141, 4842.796386, 4854.923389, 4284.449299, 3429.869053, 2748.175432, 2493.345997, 2532.394346, 2551.078401
239.554688, 4851.252262, 4898.606276, 4263.378977, 3485.008797, 2756.423679, 2456.771722, 2505.864413, 2591.752511
239.367188, 4798.418683, 4917.365844, 4219.329199, 3507.743608, 2761.868322, 2461.920276, 2475.176183, 2531.412374
239.177734, 4774.824833, 4896.404045, 4208.644999, 3379.894762, 2782.638298, 2450.157732, 2528.051438, 2542.491055
238.986328, 4809.464931, 4873.280260, 4251.905065, 3454.731285, 2748.580488, 2468.489991, 2512.863712, 2564.951209
238.796875, 4818.402236, 4881.011974, 4199.211941, 3462.850072, 2736.097944, 2484.350007, 2513.343341, 2591.676715
238.609375, 4777.490741, 4829.923245, 4203.316935, 3470.574539, 2764.814388, 2483.094633, 2500.159159, 2573.660079
238.421875, 4767.736118, 4888.721354, 4224.545704, 3490.693254, 2811.732512, 2485.218985, 2491.467135, 2549.143210
238.230469, 4837.385177, 4833.603509, 4260.299758, 3529.480005, 2747.668634, 2497.749798, 2504.029644, 2614.843008
238.041016, 4792.692909, 4902.230120, 4239.385945, 3457.129595, 2785.696443, 2474.539952, 2518.542825, 2567.757545
237.853516, 4791.730398, 4896.250915, 4257.269565, 3481.072025, 2767.686203, 2443.752063, 2506.750137, 2538.817467
237.664063, 4774.041462, 4895.177137, 4257.766349, 3529.705526, 2771.617561, 2497.533974, 2534.394172, 2590.323940
237.474609, 4788.776338, 4868.822130, 4246.500535, 3500.294435, 2792.785919, 2475.154581, 2543.378894, 2549.886147
237.285156, 4801.729047, 4912.560871, 4201.913638, 3437.110410, 2790.508163, 2453.384302, 2537.870022, 2558.811755
237.097656, 4820.769653, 4871.806267, 4260.854627, 3476.039150, 2794.744607, 2469.302604, 2510.429377, 2604.640780
236.908203, 4835.803849, 4937.874509, 4242.180179, 3489.760110, 2806.854668, 2497.374902, 2544.067515, 2529.479355
236.718750, 4797.289399, 4905.149618, 4227.208544, 3451.527061, 2809.723924, 2492.931133, 2519.390386, 2528.329072
236.527344, 4812.583745, 4962.613406, 4274.309893, 3484.150466, 2789.230152, 2504.434902, 2581.593710, 2593.542951
236.339844, 4825.148912, 4887.329869, 4230.397247, 3461.576164, 2813.401751, 2463.050556, 2543.292859, 2566.937965
236.150391, 4803.764145, 4880.388642, 4302.277990, 3518.302638, 2800.153494, 2474.652369, 2537.530950, 2610.405563
235.960938, 4807.836263, 4836.323031, 4236.207663, 3537.064804, 2835.714037, 2486.551304, 2518.123798, 2607.553243
235.771484, 4803.363825, 4912.139912, 4257.537579, 3489.889974, 2774.172181, 2515.428579, 2528.241244, 2615.381807
235.583984, 4824.913909, 4924.144531, 4297.576243, 3501.679531, 2801.443291, 2510.353342, 2514.107042, 2565.581860
235.394531, 4849.853010, 4874.145683, 4226.178019, 3478.692071, 2767.847035, 2501.661681, 2523.072899, 2613.524688
235.205078, 4808.623283, 4984.564257, 4216.890427, 3483.300193, 2807.591023, 2477.378481, 2535.123928, 2597.664425
235.015625, 4805.986412, 4893.126123, 4247.517678, 3454.860255, 2814.041404, 2511.469174, 2529.622961, 2622.367104
234.826172, 4846.064356, 4940.995954, 4261.180278, 3492.899974, 2816.393739, 2502.718281, 2490.797587, 2592.056176
234.636719, 4780.515011, 4957.072720, 4239.573972, 3458.069924, 2796.546368, 2500.816212, 2541.377819, 2601.489957
234.449219, 4758.783256, 4979.506742, 4265.776126, 3504.991154, 2821.525443, 2487.087815, 2551.111747, 2603.073569
234.257813, 4748.211899, 4928.276803, 4250.488506, 3474.894668, 2847.352947, 2501.971372, 2501.826897, 2562.314279
