Surfactant Example
Wavelength(nm), Absorption(a.u.)
703,0.26412
704,0.26539
705,0.2672
706,0.26933
707,0.27159
708,0.27435
709,0.27756
710,0.28101
711,0.28492
712,0.28903
713,0.29333
714,0.29797
715,0.30244
716,0.30696
717,0.31143
718,0.31551
719,0.31919
720,0.32226
721,0.32496
722,0.32674
723,0.32792
724,0.32839
725,0.32813
726,0.32728
727,0.32603
728,0.32418
729,0.32221
730,0.32001
731,0.31737
732,0.31462
733,0.31206
734,0.30923
735,0.30633
736,0.30316
737,0.30014
738,0.29697
739,0.29356
740,0.29023
741,0.28692
742,0.28328
743,0.27994
744,0.27662
745,0.27325
746,0.26996
747,0.26685
748,0.26385
749,0.26091
750,0.25806
751,0.25518
752,0.25268
753,0.25017
754,0.24789
755,0.24567
756,0.24343
757,0.24134
758,0.23957
759,0.23776
760,0.23584
761,0.23428
762,0.23282
763,0.23125
764,0.22983
765,0.22845
766,0.22726
767,0.22611
768,0.22478
769,0.22384
770,0.22295
771,0.22198
772,0.22107
773,0.22032
774,0.21972
775,0.21902
776,0.21859
777,0.21811
778,0.21755
779,0.2171
780,0.21693
781,0.21673
782,0.21659
783,0.21661
784,0.21659
785,0.21639
786,0.21654
787,0.2169
788,0.21698
789,0.21721
790,0.21732
791,0.21748
792,0.21751
793,0.21774
794,0.21766
795,0.21771
796,0.21767
797,0.21793
798,0.21779
799,0.21657
800,0.21643
801,0.21627
802,0.21606
803,0.21582
804,0.21556
805,0.21524
806,0.21496
807,0.21456
808,0.21419
809,0.21374
810,0.21321
811,0.21273
812,0.21218
813,0.21153
814,0.21091
815,0.21026
816,0.20953
817,0.20873
818,0.20802
819,0.20711
820,0.20626
821,0.20544
822,0.20449
823,0.20348
824,0.20259
825,0.20161
826,0.20061
827,0.19962
828,0.19866
829,0.1976
830,0.19669
831,0.19577
832,0.19483
833,0.19391
834,0.19301
835,0.19207
836,0.19126
837,0.19046
838,0.18968
839,0.18898
840,0.18825
841,0.18761
842,0.18702
843,0.18643
844,0.18588
845,0.18538
846,0.18499
847,0.18456
848,0.18423
849,0.1839
850,0.18362
851,0.18338
852,0.18315
853,0.18301
854,0.18282
855,0.18273
856,0.18262
857,0.18262
858,0.18256
859,0.18258
860,0.18257
861,0.18266
862,0.18268
863,0.18275
864,0.18283
865,0.18297
866,0.18313
867,0.18318
868,0.18332
869,0.18337
870,0.18355
871,0.18369
872,0.18377
873,0.18384
874,0.18396
875,0.18401
876,0.18403
877,0.18409
878,0.18407
879,0.18407
880,0.18402
881,0.18392
882,0.18387
883,0.18379
884,0.18372
885,0.18361
886,0.18349
887,0.18343
888,0.18332
889,0.18326
890,0.18319
891,0.18316
892,0.18314
893,0.1831
894,0.18318
895,0.18325
896,0.1834
897,0.18361
898,0.18388
899,0.18425
900,0.18476
901,0.18531
902,0.18605
903,0.18682
904,0.18773
905,0.18898
906,0.19004
907,0.19126
908,0.19252
909,0.19368
910,0.19471
911,0.19556
912,0.19615
913,0.1964
914,0.19638
915,0.19597
916,0.1954
917,0.19443
918,0.19336
919,0.19223
920,0.19104
921,0.18983
922,0.18875
923,0.18785
924,0.18705
925,0.1865
926,0.18617
927,0.18601
928,0.18604
929,0.18627
930,0.18669
931,0.18722
932,0.18779
933,0.1886
934,0.18945
935,0.19037
936,0.19156
937,0.19266
938,0.19392
939,0.19531
940,0.19675
941,0.1983
942,0.19997
943,0.20183
944,0.2036
945,0.20561
946,0.20758
947,0.20941
948,0.21138
949,0.21304
950,0.21448
951,0.21551
952,0.21622
953,0.2165
954,0.21639
955,0.21588
956,0.21508
957,0.21405
958,0.21296
959,0.21174
960,0.21058
961,0.2095
962,0.20859
963,0.20779
964,0.20737
965,0.20697
966,0.2068
967,0.20687
968,0.20711
969,0.20746
970,0.20793
971,0.20858
972,0.20928
973,0.21002
974,0.21085
975,0.21158
976,0.21243
977,0.21321
978,0.21395
979,0.21474
980,0.21539
981,0.21606
982,0.21661
983,0.21719
984,0.21767
985,0.21816
986,0.21863
987,0.21905
988,0.21949
989,0.21989
990,0.22034
991,0.22072
992,0.22117
993,0.22162
994,0.22207
995,0.2226
996,0.22308
997,0.2236
998,0.22412
999,0.22476
1000,0.22531
1001,0.22596
1002,0.22665
1003,0.2273
1004,0.22802
1005,0.22892
1006,0.22975
1007,0.23074
1008,0.23185
1009,0.233
1010,0.23428
1011,0.23573
1012,0.23735
1013,0.23884
1014,0.24058
1015,0.24244
1016,0.24401
1017,0.24573
1018,0.24734
1019,0.24863
1020,0.24968
1021,0.25043
1022,0.25082
1023,0.25074
1024,0.2504
1025,0.2496
1026,0.24846
1027,0.2471
1028,0.24547
1029,0.24382
1030,0.24186
1031,0.23988
1032,0.23815
1033,0.23626
1034,0.23447
1035,0.23291
1036,0.23135
1037,0.22988
1038,0.22868
1039,0.2276
1040,0.22656
1041,0.22578
1042,0.22512
1043,0.22449
1044,0.22404
1045,0.22372
1046,0.22348
1047,0.22328
1048,0.22314
1049,0.22313
1050,0.22312
1051,0.22318
1052,0.22333
1053,0.22345
1054,0.22362
1055,0.2238
1056,0.22392
1057,0.22397
1058,0.22404
1059,0.22398
