Surfactant Film	
Wavelength(nm),Absorption
671,0.0090769
672,0.0090457
673,0.0088999
674,0.0088433
675,0.008937
676,0.0089475
677,0.0088148
678,0.0088139
679,0.0086506
680,0.0088335
681,0.0087141
682,0.008744
683,0.0087744
684,0.0086547
685,0.0085248
686,0.0085454
687,0.0086697
688,0.0087182
689,0.0086317
690,0.0085487
691,0.0084896
692,0.0084407
693,0.0084944
694,0.0085634
695,0.0084719
696,0.0084295
697,0.0084718
698,0.0084807
699,0.0084566
700,0.0084819
701,0.0084484
702,0.0082824
703,0.0084573
704,0.0083853
705,0.0083577
706,0.0083561
707,0.0084124
708,0.0084742
709,0.0084841
710,0.00849
711,0.0085355
712,0.0084925
713,0.0085697
714,0.0085895
715,0.0085367
716,0.0085813
717,0.0086856
718,0.0087911
719,0.0087975
720,0.0088174
721,0.0089213
722,0.0088648
723,0.0088414
724,0.0088814
725,0.0088925
726,0.0090532
727,0.00916
728,0.0092433
729,0.0092794
730,0.0092042
731,0.009108
732,0.0091553
733,0.00929
734,0.0092608
735,0.0090427
736,0.0092013
737,0.0091239
738,0.0091998
739,0.0090924
740,0.0089859
741,0.0089796
742,0.009014
743,0.0089635
744,0.0087583
745,0.0087924
746,0.0086364
747,0.0086595
748,0.0086907
749,0.008636
750,0.0085745
751,0.0085145
752,0.0084576
753,0.0084143
754,0.008372
755,0.0082992
756,0.0082133
757,0.0082778
758,0.0084064
759,0.0081627
760,0.0079605
761,0.0080985
762,0.0081336
763,0.0080092
764,0.00786
765,0.0077976
766,0.007993
767,0.008032
768,0.007774
769,0.0076983
770,0.0077861
771,0.007709
772,0.0075963
773,0.0075355
774,0.0075144
775,0.0074497
776,0.0074661
777,0.0077553
778,0.0076551
779,0.0075349
780,0.007669
781,0.0077588
782,0.0077222
783,0.0075735
784,0.0074358
785,0.0074045
786,0.0075199
787,0.0076696
788,0.0076042
789,0.0073835
790,0.0074187
791,0.0072717
792,0.0072188
793,0.0073075
794,0.0074512
795,0.0075039
796,0.0073322
797,0.0073327
798,0.0073327
799,0.0073327
800,0.0073327
801,0.0072811
802,0.0073319
803,0.0073144
804,0.0073046
805,0.0073391
806,0.0073391
807,0.0072691
808,0.0072347
809,0.0072852
810,0.007296
811,0.0073328
812,0.007255
813,0.0072689
814,0.0072622
815,0.0072763
816,0.007284
817,0.0072711
818,0.0072338
819,0.0072189
820,0.0072108
821,0.0071988
822,0.0072106
823,0.0072446
824,0.0072347
825,0.0071994
826,0.0071713
827,0.0071232
828,0.0070875
829,0.0070924
830,0.0070983
831,0.0070512
832,0.0069789
833,0.0069538
834,0.0069793
835,0.006945
836,0.0068868
837,0.0068621
838,0.0068572
839,0.0068424
840,0.0068016
841,0.0067991
842,0.0067725
843,0.0067484
844,0.0067227
845,0.0067201
846,0.0066999
847,0.0066752
848,0.006658
849,0.0066422
850,0.0066281
851,0.006614
852,0.0065646
853,0.0065421
854,0.0065807
855,0.0065692
856,0.0065089
857,0.0065171
858,0.0065715
859,0.0064788
860,0.006425
861,0.0064542
862,0.0064237
863,0.0063765
864,0.0064295
865,0.0064321
866,0.0063604
867,0.0062564
868,0.0063745
869,0.0063237
870,0.006289
871,0.0063086
872,0.0062887
873,0.0062456
874,0.0061895
875,0.0061509
876,0.0062368
877,0.0062466
878,0.0062253
879,0.0061584
880,0.0062006
881,0.0062081
882,0.006168
883,0.0061001
884,0.0060468
885,0.0060111
886,0.005988
887,0.006025
888,0.0060915
889,0.0059956
890,0.0059881
891,0.005923
892,0.005925
893,0.005948
894,0.0059231
895,0.0058777
896,0.0058671
897,0.0059152
898,0.0059826
899,0.0058927
900,0.0058302
901,0.0057449
902,0.0057775
903,0.0057912
904,0.0058145
905,0.0058091
906,0.0057971
907,0.0057906
908,0.0057738
909,0.0057683
910,0.0057494
911,0.0058128
912,0.005793
913,0.0057726
914,0.0058123
915,0.0058076
916,0.0057833
917,0.0057561
918,0.0057069
919,0.0056653
920,0.0057039
921,0.0057765
922,0.0058374
923,0.0057411
924,0.0057057
925,0.0057134
926,0.0057806
927,0.0058107
928,0.0058288
929,0.0058431
930,0.0058181
931,0.0058212
932,0.0058583
933,0.0058166
934,0.0058796
935,0.0058515
936,0.0058992
937,0.0059149
938,0.0059061
939,0.0059369
940,0.0059466
941,0.005893
942,0.0059108
943,0.0059457
944,0.0060153
945,0.0059394
946,0.0060227
947,0.0060304
948,0.0060029
949,0.006014
950,0.006037
951,0.0060297
952,0.0060064
953,0.0060086
954,0.0060744
955,0.0060729
956,0.0061302
957,0.0060872
958,0.0060694
959,0.0061231
960,0.006164
961,0.0061805
962,0.006195
963,0.0062026
964,0.0062073
965,0.0062081
966,0.0062138
967,0.0062352
968,0.0063048
969,0.0062838
970,0.0062956
971,0.0063264
972,0.0063594
973,0.0063655
974,0.0063463
975,0.0063663
976,0.0063318
977,0.0063979
978,0.0063827
979,0.0064054
980,0.0063994
981,0.0064287
982,0.0064757
983,0.0064981
984,0.0064978
985,0.0065113
986,0.0065443
987,0.0065491
988,0.0065848
989,0.0066376
990,0.006611
991,0.0065869
992,0.0066537
993,0.0066723
994,0.0066377
995,0.0066248
996,0.0066518
997,0.0066931
998,0.0066638
999,0.0065847
1000,0.0067124
1001,0.0066499
1002,0.0066843
1003,0.0066997
1004,0.0067376
1005,0.0067483
1006,0.0067092
1007,0.0067024
1008,0.006734
1009,0.0067122
1010,0.006741
1011,0.0066757
1012,0.0067537
1013,0.0067671
1014,0.0067978
1015,0.0067728
1016,0.0066945
1017,0.0066712
1018,0.006705
1019,0.0066897
1020,0.0067674
1021,0.0066932
1022,0.0067951
1023,0.0067815
1024,0.0067769
1025,0.0067852
1026,0.0068088
1027,0.0067966
1028,0.0067623
1029,0.0067817
1030,0.0068363
1031,0.0068382
1032,0.0068521
1033,0.0068046
1034,0.0067542
1035,0.0067419
1036,0.0067612
1037,0.0068018
1038,0.0068268
1039,0.006808
1040,0.0067799
1041,0.0068077
1042,0.0068526
1043,0.0068383
1044,0.0068689
1045,0.0067992
1046,0.0068315
1047,0.006878
1048,0.0069046
1049,0.0068838
1050,0.0068499
1051,0.0068423
1052,0.0068182
1053,0.0068294
1054,0.006796
1055,0.0068338
1056,0.0068634
1057,0.0068668
1058,0.0068923
1059,0.0069123
1060,0.0068723
1061,0.006804
1062,0.0067819
1063,0.0067997
1064,0.0068225
1065,0.0068231
1066,0.0068525
1067,0.0068024
1068,0.0067555
1069,0.006789
1070,0.0068383
1071,0.0068514
1072,0.0068444
1073,0.0068445
1074,0.0068507
1075,0.0068692
1076,0.0068078
1077,0.0068129
1078,0.0067807
1079,0.0067764
1080,0.0068165
1081,0.0068625
1082,0.0068917
1083,0.0068854
1084,0.0068457
1085,0.0068353
1086,0.0068969
1087,0.0068703
1088,0.0068829
1089,0.0068646
1090,0.0069034
1091,0.0069024
1092,0.0069172
1093,0.0069277
1094,0.0069213
1095,0.0069359
1096,0.0069501
1097,0.0069627
