N,S11W,S11A,S22W,S22A,PlasWL,PlasAL,PlasWR,PlasAR
SC Empty@SWCNT Dial,1759,2.66545151412351,1000,1,239,2.35326262462726,273,1.75107857569649
CB Empty@SWCNT DGU B S2,1682,16.4614959507217,996,1,247,608.322328202304,283,628.295553064533
CB Empty@SWCNT DGU B S3,1682,37.2230013304211,996,1,248,1313.94518655064,285,1359.85994872277
CB Empty@SWCNT DGU B S4D,1682,20.8645512846849,996,1,250,634.053654583609,280,657.900923859308
CB Empty@SWCNT DGU B S4L,1850,-6.24780310483289,909,1.68923229491387,220,-2154.26422072766,260,-2333.35022109824
CB Empty@SWCNT DGU B S5,1683,19.8586213053672,998,1,247,536.619301352736,272,554.688281794531
CB Empty@SWCNT DGU B S6,1684,20.7136493502895,998,1,250,555.937027723811,275,572.199290681646
CB Empty@SWCNT DGU B S7,1683,10.5971232177722,999,1,248,244.747003065529,279,250.279787237855
