Name,X,Y,Name,X,Y,Name,X,Y
Sol.T1 S-SWCNTs Converted,516.85546875,374.681482950846,Sol.T4 S-SWCNTs Converted,517.365234375,412.562957763672,Sol.T4P S-SWCNTs Converted,517.365234375,249.292589823405
Sol.T1 S-SWCNTs Converted,516.34375,373.381484985352,Sol.T4 S-SWCNTs Converted,516.85546875,414.844441731771,Sol.T4P S-SWCNTs Converted,516.85546875,250.714813232422
Sol.T1 S-SWCNTs Converted,515.83203125,372.937032063802,Sol.T4 S-SWCNTs Converted,516.34375,412.792592366536,Sol.T4P S-SWCNTs Converted,516.34375,251.433331807454
Sol.T1 S-SWCNTs Converted,515.322265625,372.492599487305,Sol.T4 S-SWCNTs Converted,515.83203125,412.896301269531,Sol.T4P S-SWCNTs Converted,515.83203125,250.562960306803
Sol.T1 S-SWCNTs Converted,514.8125,372.303705851237,Sol.T4 S-SWCNTs Converted,515.322265625,413.551854451497,Sol.T4P S-SWCNTs Converted,515.322265625,251.011108398438
Sol.T1 S-SWCNTs Converted,514.302734375,374.011113484701,Sol.T4 S-SWCNTs Converted,514.8125,411.174072265625,Sol.T4P S-SWCNTs Converted,514.8125,252.151852925618
Sol.T1 S-SWCNTs Converted,513.79296875,374.048151652018,Sol.T4 S-SWCNTs Converted,514.302734375,413.466664632161,Sol.T4P S-SWCNTs Converted,514.302734375,252.985188802083
Sol.T1 S-SWCNTs Converted,513.28125,373.785191853841,Sol.T4 S-SWCNTs Converted,513.79296875,412.533330281576,Sol.T4P S-SWCNTs Converted,513.79296875,252.73703511556
Sol.T1 S-SWCNTs Converted,512.76953125,378.644444783529,Sol.T4 S-SWCNTs Converted,513.28125,410.844441731771,Sol.T4P S-SWCNTs Converted,513.28125,253.544443766276
Sol.T1 S-SWCNTs Converted,512.2578125,378.033335367839,Sol.T4 S-SWCNTs Converted,512.76953125,415.59629313151,Sol.T4P S-SWCNTs Converted,512.76953125,255.818519592285
Sol.T1 S-SWCNTs Converted,511.74609375,375.185180664063,Sol.T4 S-SWCNTs Converted,512.2578125,413.74814860026,Sol.T4P S-SWCNTs Converted,512.2578125,257.914812723796
Sol.T1 S-SWCNTs Converted,511.236328125,375.73703511556,Sol.T4 S-SWCNTs Converted,511.74609375,411.374069213867,Sol.T4P S-SWCNTs Converted,511.74609375,254.744445800781
Sol.T1 S-SWCNTs Converted,510.7265625,378.259256998698,Sol.T4 S-SWCNTs Converted,511.236328125,412.122222900391,Sol.T4P S-SWCNTs Converted,511.236328125,255.137036641439
Sol.T1 S-SWCNTs Converted,510.21484375,375.566670735677,Sol.T4 S-SWCNTs Converted,510.7265625,414.140736897786,Sol.T4P S-SWCNTs Converted,510.7265625,256.833333333333
Sol.T1 S-SWCNTs Converted,509.705078125,378.029627482096,Sol.T4 S-SWCNTs Converted,510.21484375,413.155558268229,Sol.T4P S-SWCNTs Converted,510.21484375,256.703702290853
Sol.T1 S-SWCNTs Converted,509.193359375,376.137034098307,Sol.T4 S-SWCNTs Converted,509.705078125,412.418518066406,Sol.T4P S-SWCNTs Converted,509.705078125,254.977780659993
Sol.T1 S-SWCNTs Converted,508.68359375,376.140741984049,Sol.T4 S-SWCNTs Converted,509.193359375,410.944447835286,Sol.T4P S-SWCNTs Converted,509.193359375,255.41482035319
Sol.T1 S-SWCNTs Converted,508.171875,375.903701782227,Sol.T4 S-SWCNTs Converted,508.68359375,410.444442749023,Sol.T4P S-SWCNTs Converted,508.68359375,256.418520609538
Sol.T1 S-SWCNTs Converted,507.66015625,377.885187784831,Sol.T4 S-SWCNTs Converted,508.171875,410.077779134115,Sol.T4P S-SWCNTs Converted,508.171875,255.433331807454
Sol.T1 S-SWCNTs Converted,507.150390625,378.477778116862,Sol.T4 S-SWCNTs Converted,507.66015625,411.629623413086,Sol.T4P S-SWCNTs Converted,507.66015625,258.070373535156
Sol.T1 S-SWCNTs Converted,506.638671875,376.170374552409,Sol.T4 S-SWCNTs Converted,507.150390625,409.077774047852,Sol.T4P S-SWCNTs Converted,507.150390625,256.318519592285
Sol.T1 S-SWCNTs Converted,506.126953125,379.207412719727,Sol.T4 S-SWCNTs Converted,506.638671875,407.429626464844,Sol.T4P S-SWCNTs Converted,506.638671875,257.759262084961
Sol.T1 S-SWCNTs Converted,505.6171875,376.09629313151,Sol.T4 S-SWCNTs Converted,506.126953125,411.307408650716,Sol.T4P S-SWCNTs Converted,506.126953125,259.148150126139
Sol.T1 S-SWCNTs Converted,505.10546875,376.688883463542,Sol.T4 S-SWCNTs Converted,505.6171875,408.070368448893,Sol.T4P S-SWCNTs Converted,505.6171875,257.366668701172
Sol.T1 S-SWCNTs Converted,504.59375,374.896296183268,Sol.T4 S-SWCNTs Converted,505.10546875,408.233342488607,Sol.T4P S-SWCNTs Converted,505.10546875,257.137036641439
Sol.T1 S-SWCNTs Converted,504.08203125,375.90000406901,Sol.T4 S-SWCNTs Converted,504.59375,406.311106363932,Sol.T4P S-SWCNTs Converted,504.59375,256.066668192546
Sol.T1 S-SWCNTs Converted,503.57421875,375.200002034505,Sol.T4 S-SWCNTs Converted,504.08203125,406.162958780924,Sol.T4P S-SWCNTs Converted,504.08203125,257.996294657389
Sol.T1 S-SWCNTs Converted,503.0625,375.76296488444,Sol.T4 S-SWCNTs Converted,503.57421875,404.84814453125,Sol.T4P S-SWCNTs Converted,503.57421875,257.625923156738
Sol.T1 S-SWCNTs Converted,502.548828125,375.529632568359,Sol.T4 S-SWCNTs Converted,503.0625,406.218526204427,Sol.T4P S-SWCNTs Converted,503.0625,258.333333333333
Sol.T1 S-SWCNTs Converted,502.037109375,377.974075317383,Sol.T4 S-SWCNTs Converted,502.548828125,402.792592366536,Sol.T4P S-SWCNTs Converted,502.548828125,258.77037302653
Sol.T1 S-SWCNTs Converted,501.52734375,376.399998982747,Sol.T4 S-SWCNTs Converted,502.037109375,406.977778116862,Sol.T4P S-SWCNTs Converted,502.037109375,260.207402547201
Sol.T1 S-SWCNTs Converted,501.015625,380.807408650716,Sol.T4 S-SWCNTs Converted,501.52734375,404.840738932292,Sol.T4P S-SWCNTs Converted,501.52734375,259.607406616211
Sol.T1 S-SWCNTs Converted,500.50390625,381.329625447591,Sol.T4 S-SWCNTs Converted,501.015625,406.470377604167,Sol.T4P S-SWCNTs Converted,501.015625,261.766667683919
