SurfactantFilm,,SurfactantSolution,
Wavelength(nm),Absorption,Wavelength(nm),Absorption
471,0.0081376,471,0.25506
472,0.0081414,472,0.25414
473,0.008044,473,0.25317
474,0.0081393,474,0.25226
475,0.0080105,475,0.25142
476,0.0079519,476,0.25059
477,0.0079634,477,0.24973
478,0.007924,478,0.24886
479,0.0078687,479,0.24824
480,0.007792,480,0.24758
481,0.0078385,481,0.24686
482,0.007931,482,0.24637
483,0.0079383,483,0.24582
484,0.0079248,484,0.24515
485,0.0077893,485,0.24471
486,0.0078229,486,0.24428
487,0.0077932,487,0.24387
488,0.007783,488,0.24357
489,0.0078559,489,0.24316
490,0.0078625,490,0.24299
491,0.0078214,491,0.24284
492,0.0077234,492,0.24273
493,0.0076938,493,0.24256
494,0.0076693,494,0.24265
495,0.0076719,495,0.24279
496,0.0076319,496,0.24301
497,0.0077008,497,0.24324
498,0.0077633,498,0.24349
499,0.007776,499,0.24388
500,0.0077447,500,0.24424
501,0.007696,501,0.24468
502,0.0077465,502,0.24516
503,0.0078877,503,0.24565
504,0.0079001,504,0.24605
505,0.0078573,505,0.24642
506,0.0078246,506,0.24688
507,0.00782,507,0.24702
508,0.0078193,508,0.24721
509,0.0078253,509,0.24727
510,0.0078117,510,0.2474
511,0.0077849,511,0.24717
512,0.0078093,512,0.24701
513,0.0078819,513,0.24657
514,0.007833,514,0.24633
515,0.007779,515,0.24583
516,0.0078153,516,0.24516
517,0.0077246,517,0.24463
518,0.0077085,518,0.24388
519,0.0077032,519,0.24316
520,0.0076433,520,0.24235
521,0.0075707,521,0.24164
522,0.0075789,522,0.24097
523,0.0076327,523,0.24004
524,0.0075932,524,0.23944
525,0.0075844,525,0.23873
526,0.0074828,526,0.2381
527,0.0074531,527,0.2375
528,0.0075822,528,0.23697
529,0.0075001,529,0.23653
530,0.0075001,530,0.23617
531,0.0074933,531,0.23592
532,0.0074891,532,0.23574
533,0.007514,533,0.23556
534,0.0075142,534,0.23549
535,0.0074996,535,0.23549
536,0.0074216,536,0.23546
537,0.0074576,537,0.23561
538,0.0074504,538,0.23576
539,0.0074808,539,0.23588
540,0.007498,540,0.23618
541,0.0074834,541,0.23646
542,0.0074934,542,0.23692
543,0.0075393,543,0.23744
544,0.0075185,544,0.23803
545,0.0074031,545,0.23885
546,0.0073774,546,0.23969
547,0.0075004,547,0.2407
548,0.0076625,548,0.24172
549,0.0076124,549,0.24273
550,0.0076567,550,0.2438
551,0.0076542,551,0.24493
552,0.0076611,552,0.2459
553,0.0076579,553,0.24667
554,0.0076157,554,0.24735
555,0.0076598,555,0.24804
556,0.0077408,556,0.24865
557,0.0075579,557,0.2492
558,0.0075603,558,0.24967
559,0.0077294,559,0.25017
560,0.0078743,560,0.25076
561,0.007726,561,0.25124
562,0.0077691,562,0.25178
563,0.0078731,563,0.25245
564,0.0079067,564,0.25292
565,0.0079171,565,0.25337
566,0.0078235,566,0.25393
567,0.0076994,567,0.25429
568,0.0078743,568,0.25465
569,0.0077465,569,0.25515
570,0.0077917,570,0.25536
571,0.0079626,571,0.25571
572,0.0078867,572,0.25596
573,0.0078329,573,0.2562
574,0.0079325,574,0.25649
575,0.0079653,575,0.25682
576,0.0079885,576,0.25716
577,0.0080099,577,0.25755
578,0.0079255,578,0.25787
579,0.0078957,579,0.25866
580,0.00799,580,0.25927
